text,text_length,original_index,paragraph_index,original_text_length,paragraph_length,source_type
尽管门面已经小了一圈，但还是开着不容易啊。我们不容易，老板也不容易。自助餐，你可以吃得比平时多，但决不能浪费。想吃回20元，那是不可能的，所以还是不要去了。菜真的很一般，洗干净就好啦。,132,0,0,132,92,split_paragraph
据悉，35路公交线由兰州西客站开往美伦广场时，兰州西客站至白塔山公园线路不变，经北滨河路九州大道南口左转弯进入九州大道至庙滩子恢复原线路运行；由美伦广场开往兰州西客站时，美伦广场至庙滩子线路不变，左转弯进入九州大道至北滨河路市二医院恢复原线路运行。81路公交线路由市二医院开往省军干所时，经北滨河路九州大道南口左转弯进入九州大道至庙滩子恢复原线路运行；由省军干所开往市二医院时，省军干所至庙滩子线路不变，左转弯进入九州大道至市二医院。,545,3,0,545,217,split_paragraph
108路公交线路由九州创城B区开往兰州西客站时，九州创城B区至朝阳村路口线路不变，直行进入九州大道至北滨河路市二医院恢复原线路运行；由兰州西客站开往九州创城B区时，兰州西客站至白塔山公园线路不变，经北滨河路九州大道南口左转弯进入九州大道至朝阳村路口恢复原线路运行。,545,3,1,545,132,split_paragraph
再选当中表现最佳两位前往英国曼联青训学院训练一星期。此计划是曼联足球学校国际训练计划的一部分，并同时于英国、阿布扎比、杜拜、印度及中国举办。2012年训练于7月16-27日举行。,215,4,0,215,89,split_paragraph
从大姚的演讲来看，可以发现： 1大姚的英文很好，而且还学会了美国人的幽默。2大姚在NBA遇到过不少贵人，他们给予了大姚很多帮助，让他能取得今天的成功，而大姚也是一个懂得感恩的人。可以说他之所以能取得如今的成就，这两点很重要。,225,6,0,225,112,split_paragraph
弟子世行代答： 古人称，读出师表不涕者，为人必不忠，读陈情表不涕这，为人必不孝，读祭十二郎文不涕这，为人必不悌。年月日，季父愈闻汝丧之七日，乃能衔哀致诚，使建中远具时羞之奠，告汝十二郎之灵： 呜呼！吾少孤，及长，不省所怙，惟兄嫂是依。中年，兄殁南方，吾与汝俱幼，从嫂归葬河阳。既又与汝就食江南。零丁孤苦，未尝一日相离也。吾上有三兄，皆不幸早世。承先人后者，在孙惟汝，在子惟吾。,208,7,0,208,188,split_paragraph
很好奇，陶是公认的天才。很想知道在他手下读博是什么感受？补充，这个网站里可以看到Tao的学生列表强行答一个无关的！一天听讲座，我到的稍微有点晚，挤在门口一个角落，发现旁边这不是Tao吗？也站着呢，没人让座没人理。感觉这可能是我俩地位最平等的一次了吧，想偷摸拍一张合影也没敢。听着听着他还小声笑一下，我就在那里懵逼地边听边琢磨笑点在哪。反正到最后我也是没太听明白，Tao还问了个问题，语速巨快，我既没听懂问题又没听懂答案。,236,8,0,236,210,split_paragraph
是否真的能推动基因治疗？补充，今年获奖了：关于CRISPR全称，具体的机理已经有人回答过了，我来给非生物的朋友解释一下它的伟大之处。在CRISPR没有出现之前，改变一个物种的基因是一件很复杂的事情，转基因技术需要非常熟练的科研人员才能进行操作，需要耗费大量的金钱才能完成，因此转基因技术的应用局限于一些大型的实验室。,245,12,0,245,158,split_paragraph
感兴趣的朋友可致电咨询详情，免费电话400-886-5590转655540。具体车型优惠政策如下：大众帕萨特 厂商指导价 直降 现价 现车情况 询价1.8TSI DSG 30周年纪念版 23.38万 ↓1.9万 21.48万 现车充足致电商家，获取更多优惠信息！免费电话：400-886-5590转655540制表：搜狐汽车南昌站查看更多降价信息请进 降价栏目首页 大众帕萨特 外观 线条美观，有棱有角，体态优美，大气。我选的是釉金，目前在街上看到的不多，有点土豪的赶脚。后部有些溜背，比较象CC！,626,14,0,626,249,split_paragraph
内饰 内饰布局合理，方便。用料也比较精致，镀铬出风口显得很有档次，各种操作按键设计比较人性化。仪表的指针和显示清晰 空间 比较满意，轴距挺长的，前后空间挺大的，尤其后备箱特别大，放个婴儿车什么的，都挺大的。动力 加速有相当的推背感，提速很灵敏。市区驾驶游刃有余，高速驾驶沉着稳定。操控 扎实的底盘，精准的转向，让你操控起来信心十足，对路面的反馈比较到位。（信息来源：南昌 信息员000） 提及搜狐汽车，您将享受更优质的服务。声明：此价格为经销商个体行为，不代表全部经销商。,626,14,1,626,236,split_paragraph
