text,text_length,category,success,authenticity_score,mainland_terms,score_大陸特有詞彙,score_大陸語法習慣,score_大陸口語表達,score_避免繁體用語,score_整體大陸化程度,score_總分
如何看待2017年北京高考文科状元熊轩昂的发言？当被问到“你是否相信知识能改变命运”时，熊轩昂回答说，高考是一场阶层分化的考试，农村地区的考生越来越难考进。自己来自中产家庭，出生在北京，享有这座大城市的教育资源，使得学习过程中能走许多捷径。他观察到，许多状元的家庭背景都相当强大且有能力。因此，拥有知识并不一定能改变命运，而缺乏知识也不一定会让命运无法改变。前段时间我看到一本叫《北京折叠》的小说，虽然没读过，却觉得书名与自己的感受不谋而合。或许这正是我想表达的——“割裂的北京”。我和朋友们以“实习工作”之名，实际上在首都做了类似社会实践的短暂时光。这个年轻人正是把社会分裂中某一阶层优秀青年的真实想法呈现出来。大多数回应都在感叹，这孩子虽小却很通透。其实，答案的主角们并未真正理解其深层含义。,348,通用簡體中文,True,0,,0.0,0.0,0.0,1.0,0.0,1.0
如何看待2017年北京高考文科状元熊轩昂的言论？在被问到“是否相信知识可以改变命运”的时候，2017北京高考文科第一名熊轩昂说：高考是阶层性的考试，农村地区越来越很难考出来，我是中产家庭孩子，生在北京，在北京这种大城市能享受到的教育资源，决定了我在学习时能走很多捷径，能看到现在很多状元都是家里厉害，又有能力的人，所以有知识不一定改变命运，但是没有知识一定改变不了命运。<img data-rawheight前一段时间，有一本小说，叫北京折叠。我并没有看这本小说，只是看到这个书名，无奈又感觉哪里恰好契合的让我笑了一声。意思是不是我所想说的：割裂的北京。我和我的好朋友们，美其名曰实习工作，实则类似社会实践一样的在首都呆了不长不短的一段时间。这个年轻人，其实说出了割裂社会里，某一阶级优秀青年代表群的内心真实感受。大部分答案都是在感慨，啊呀，这个小孩这么小其实很通透啊。其实倒不如说，大部分答案的答主并没有,403,通用簡體中文,False,0,,,,,,,
醉汉撒野 丑态百出[高清版]醉汉撒野丑态百出[高清版],27,通用簡體中文,True,0,,0.0,0.0,0.0,1.0,0.0,1.0
我常常在这家买包子当早餐，种类不少，口味也相当不错。肉包我觉得油份偏高，夏天吃起来略显油腻；菜包则相当合口。想换口味时，我会挑选豆沙包，里面的豆沙柔软，非常美味。圆形的包子也很受欢迎。至于糖糕，我觉得一般，既不是那种有洞洞的，也不是普通馒头，而是比一般馒头稍甜的那种。,134,通用簡體中文,True,0,,0.0,0.0,0.0,1.0,0.0,1.0
正宗的法国小甜点，尤其是马卡龙，如果你不习惯西式甜品，最好不要抱太大期望。可以改为尝试各式小糕点，相比之下一定会更合你口味。,62,通用簡體中文,True,0,,0.0,0.0,0.0,1.0,0.0,1.0
"辘轳首是日本江户时代流传甚广的一种长颈妖怪，通常以女性形象出现。它的脖子可以伸缩自如，类似于井边打水时控制汲水吊桶的辘轳把，因此被称为“辘轳首”。  

与长颈妖怪相关的记载见于干宝的《搜神记》，该书是中国晋代著名的奇谭异闻录。书中提到南方的“落头氏”一族，亦称“飞头蛮”，是这种妖怪的原型。飞头蛮与辘轳首不同：它的整颗头会从脖子与身体彻底分离，而辘轳首的脖子只是突然伸长。  

长颈妖怪按精神自主性可分为两类：  
1. 可随意意念游走、自由飞翔的妖怪。它们会潜入民宅，勒毙正在睡眠的人，用尖锐牙齿啃蚀对方，甚至可集体行动。  
2. 无法控制漂移方向、处于无意识状态下浮游的妖怪。  

由于长颈妖怪常常头部与身体分离，脖子处常缠红丝线，地方上流传不成文禁忌：“看到脖子缠红线的女人千万不能娶”，因为担心娶进门的妻子可能是长颈妖怪的化身。  

有些人并不自知自己是长颈妖怪，白天看似与常人无异，夜晚进入梦乡时才显露真面目：先是脖子突然伸长，随后头部与身体彻底分离，随后又重新结合。醒来后则像正常人一样行动，往往不记得妖怪形态时的所见所为。  

《日本妖怪奇谭》ISBN 9787224085297",503,通用簡體中文,True,0,,0.0,0.0,0.0,1.0,0.0,1.0
如何评价姚明在2016年奈史密斯篮球名人堂入选仪式上的演讲？从他的演讲中可以看出：①姚明的英语水平非常好，并且懂得美国式幽默；②他在NBA期间得到了多位贵人的帮助，这些帮助使他能够取得今天的成就，姚明本人也十分懂得感恩。可以说，这两点是他能够取得如今成就的关键。优秀的英语和幽默感使他更好地融入美国篮球圈，得以与弗朗西斯、莫布里、麦迪等人成为好队友和朋友，并与汤姆、贾科维奇、范甘迪、阿德尔曼等教练保持良好沟通。,206,通用簡體中文,True,0,,0.0,0.0,0.0,1.0,0.0,1.0
亚洲互动传媒有限公司，简称亚洲互动传媒（股票代码2149.T，曾在东京证券交易所被除牌），于2002年在北京市创立了“北京宽视网络公司”，当时主要经营TVPG业务。该公司股份于2007年4月26日在东京证券交易所母体板上市。然而，原CEO崔建平未经董事会批准，擅自挪用公司资金，导致股价从2055日元骤降至5日元。结果，红杉资本、电通、JSAT、伊藤忠商事、NTT移动以及JCD等多家机构遭受重大损失。最终，东京证券交易所于2008年9月20日以“监管不符”决定将其除牌。,236,通用簡體中文,True,0,,0.0,0.0,0.0,1.0,0.0,1.0
使用防晒霜后是否需要卸妆？卸妆水、卸妆乳、卸妆油之间有什么区别？我的额头出现痘痘，担心涂抹防晒后会导致痘痘加重。以下列举我使用过的产品。韩束晒美白30倍防晒乳不具备防水功能，当然不需要卸妆。悦诗风吟的产品我刚购买，因为它只含物理防晒剂，据说敏感肌肤不会过敏，但实际使用后仍感不适。洗面奶洗两遍仍无法彻底清除。卸妆水需要先倒在化妆棉上再擦脸，日常使用会让我觉得会损伤角质层，使皮肤更敏感。卸妆油一接触水就容易乳化，因此需要保持双手干燥，每次使用前都要洗净双手并甩干，才开始卸妆，过程并不愉快。因此，我更倾向于使用卸妆膏或卸妆乳等产品，至少可以通过摩擦来清洁。,278,通用簡體中文,True,0,,0.0,0.0,0.0,1.0,0.0,1.0
某日逛完越秀公园后找不到地方吃饭，便来了这吃火锅~发现这里的锅是有分大小的，挺人性化的~滋补汤底：其实就是超市卖的汤料的的味道，很浓郁，以至于不需要沾酱~羊羔肉：必点的肉类，肉香浓郁，不过煮久了比较容易柴~鲜羊肉丸子：丸子放了挺多香油去调味，盖住了本身的羊肉味，不过挺嫩的~冻豆腐：强烈推荐~吸收酱汁的能力很好~木耳：比较难入味，还成吧~油麦菜：正常青菜应有的水准~吃完之后送了一张50元的餐券~,198,真正大陸用語,True,2,挺,0.0,1.0,0.0,1.0,1.0,3.0
我突然有一天去他家买东西，买了一些海带。回家后品尝，味道确实不错，且价格实惠。哈尔滨红肠的口味也相当正宗。,53,通用簡體中文,True,0,,0.0,0.0,0.0,1.0,0.0,1.0
一次和嫩嫩逛街时，路过一家唱吧，逗留了大约两小时。记得每小时大约28元，音效和整体体验都相当不错，只是价格略高，毕竟是连锁店嘛~,64,通用簡體中文,True,0,,0.0,0.0,0.0,1.0,0.0,1.0
我一直信赖贝亲的品质，自宝宝出生后就一直使用，效果不错，活动价格也相当可接受。,39,通用簡體中文,True,0,,0.0,0.0,0.0,1.0,0.0,1.0
这部作品虽然篇幅略短，但十分精彩，结局也很快。一天之内就看完了，请问是否还有后续？,41,通用簡體中文,True,0,,0.0,0.0,0.0,1.0,0.0,1.0
某日游览完越秀公园后，因未能找到合适的餐饮场所，于是前往此店品尝火锅。店内锅具分大小，十分人性化。滋补汤底的味道与超市售卖的汤料相似，浓郁程度足以无需蘸酱。羊羔肉是必点菜品，肉香浓郁，但烹煮时间过长容易变柴。鲜羊肉丸子在调味时加入了较多香油，掩盖了羊肉本身的味道，但质地十分嫩滑。冻豆腐极力推荐，吸附酱汁的能力极佳。木耳较难入味，略显生硬。油麦菜则保持了普通青菜的标准水平。用餐结束后赠送了一张50元餐券。,203,通用簡體中文,True,0,,0.0,0.0,0.0,1.0,0.0,1.0
无论到哪里，我都喜欢点烤鳗鱼；这里的烤鳗鱼并不油腻。除此之外，还有碗蒸。每次我都会吃两碗以上。自助区的服务速度相当快，但现在自助区的价格已上涨。由于日本污染问题，我现在很少去日本。,90,通用簡體中文,True,0,,0.0,0.0,0.0,1.0,0.0,1.0
这是我用过的最好的。,10,通用簡體中文,True,0,,0.0,0.0,0.0,1.0,0.0,1.0
"本周（3月23日至27日）黄金价格一路攀升，前四个交易日均出现涨幅，加之上周的上涨势头，金价连续七个交易日走高，创下自2012年8月以来最长的升势。然而，周末的涨幅略有放缓。金价的持续上扬受到多重因素驱动，未来走势仍需投资者重点关注这些变量。下周（3月30日至4月3日）投资者应留意中东局势的最新动态；重点关注美联储政策动向，尤其是下周五公布的美国非农就业数据；同时关注实物黄金买盘的变化；对希腊债务问题亦需保持关注。

中东局势仍不明朗，金价因避险需求而受益。阿拉伯地区冲突再度升温，全球金融市场避险情绪蔓延。周三媒体报道称，沙特阿拉伯空袭也门胡塞武装，袭击了首都萨那周边及南部军事基地。随即，沙特、阿联酋、卡塔尔、科威特、巴林等海湾合作组织五国发布联合声明，表示将按哈迪的请求组建联盟干预也门局势。受避险情绪提振，现货金价大幅上涨。Price Futures Group的Phil Flynn指出，市场往往在类似事件初期作出强烈反应，随后在深入评估风险后会从长远角度考量其影响。德国商业银行商品分析师Daniel Briesemann则认为，若中东局势未见好转，金价可能继续走强；若局势改善，金价可能跌破1,200美元。立博塔斯财富管理集团的Adam Koos强调，地缘政治因素虽能短期波动价格，但美元才是投资者应关注的核心。若美元底部已被打开，黄金价格几乎肯定会进一步上涨；若美元重回上行，金价涨势难以持续。

美联储加息担忧减弱，美元回落为金价提供支撑，投资者最需关注美联储动态与美国经济数据。市场对美联储至少在9月前不再加息的预期增强。华尔街主要银行的调查显示，普遍预期联储在至少9月前不会升息。美联储副主席费希尔表示，市场“广泛预期”联储今年将开始升息，但政策路径仍不明朗。Logic Advisors的Bill O'Neill认为，费希尔讲话后的金价上涨是短期因素，可能巩固了上周美联储的声明，短期内不太可能升息。花旗的David Wilson指出，所有看空金市的投资者对6月升息的期望已破灭，市场关注点将转向下一次升息的时间。

总体来看，美国近期公布的经济数据疲软为金价提供一定支撑。本周美国2月耐用品订单意外下滑，降幅1.4%，金价随之上涨，显示加息可能性降低。美国四季度GDP终值数据也低于预期，年化增速为2.2%（预期2.4%）。下周美国非农就业报告将至。CMC市场的Colin Cieszynski指出，黄金价格近期上涨的主要推动力是欧洲央行的量化宽松计划。欧洲央行行长德拉基的发言显示该计划进展顺利，对金价构成支持。新德里交易顾问企业英西格尼亚的Chintan Karnani认为，交易员正在寻找做空黄金和白银的机会，未被说服其价格将持续上涨。奥塔维斯特世界贸易公司的Erik Gebhard强调，未来一周交易员将关注下周五的非农就业报告和下周一的核心个人消费物价指数，因就业与通胀是联储决策的关键指标。

实物黄金买盘持续减少，避险支撑难以持久。本周实物黄金需求下降，表明基金和亚洲投资者对黄金兴趣减弱，暗示后市支撑有限。贵金属交易商MKS在报告中指出，亚洲实货黄金需求在当前价格水平下已不再支撑市场；当金价在1,145-1,155美元区间时，亚洲需求曾起到支撑作用。实货需求放缓受到金价上涨拖累，中国黄金溢价从上周的6-7美元降至约2-3美元。中国是全球第二大黄金消费国。全球最大黄金ETF SPDR Gold Trust 的持仓持续流出，显示投资者对金价升势保持谨慎。

希腊债务问题仍然是市场关注焦点，尽管市场对希腊能否达成援助协议的乐观情绪暂时未能进一步提振金价，希腊的不安情绪对欧元的压制有限。RBS Securities的美国公债策略师Ed Atkins认为，市场对希腊仍非常关注，虽然不安情绪高涨，但对希腊能与债权人找到解决办法仍持乐观态度。希腊政府已向债权人提交改革措施清单，希腊官员表示，欧盟与IMF团队将从周五晚些时候开始讨论，评估预计于周六完成。若获批准并得到欧元区财政部长同意，希腊将获得下一轮援助，避免破产风险。GoldCore的董事Mark O'Byrne指出，担心希腊债务危机可能再次爆发，黄金将因此获得持续支撑。希腊现金快速枯竭，退出欧元区、重启德拉克马的风险日益加剧。",1766,通用簡體中文,True,0,,0.0,0.0,0.0,1.0,0.0,1.0
我在学西班牙语。老师上课时经常跟我们说，西班牙的海鲜饭非常好吃。他说自己在西班牙时常吃。上周我去了一家，海鲜饭128块，价格有点贵。,66,通用簡體中文,True,0,,0.0,0.0,0.0,1.0,0.0,1.0
对姚明在2016年奈史密斯篮球名人堂入选典礼上的演讲，如何评价？从“大姚”的发言中可见：①他的英语水平很高，并且掌握了美国式幽默；②在NBA生涯中，他结识了许多贵人，他们给予了他大量支持，使他走向今日的成就，而他本人也十分懂得感恩。可以说，这两点是他能取得如今成功的关键。优秀的语言表达和幽默感让他更容易融入美国团队，促成了与弗朗西斯、莫布里以及后来的麦迪等人成为优秀队友与好友，也让他能与汤姆·贾科维奇、范甘迪、阿德尔曼等教练顺畅交流。,219,通用簡體中文,True,0,,0.0,0.0,0.0,0.0,0.0,0.0
这本书无论是孩子还是大人都喜欢。画面很美，读起来也很有感觉。,30,通用簡體中文,True,0,,0.0,0.0,0.0,1.0,0.0,1.0
