text,text_length,category,success,authenticity_score,mainland_terms,source_type,fragment_length,score_大陸特有詞彙,score_大陸語法習慣,score_大陸口語表達,score_避免繁體用語,score_整體大陸化程度,score_總分
新开不久的火锅店 跟朋友连去了两次首先要说的是环境在火锅店里绝对是好的 格调素雅 座位也很舒适 最重要的是洗手间 洗手台 这些小细节的设施都不错 想的很周到 老板应当是非常用心的 停车场到楼上有直达电梯蔬菜非常新鲜 羊肉也很嫩很嫩 特别推荐的是鸡脆骨丸 里面有玉米粒 非常好吃 放在汤里面又提味锅底点的是高汤锅 女孩子吃太多辣的不好 味道有点冲 但是煮起来还不错最后点评下服务 一上电梯迎宾的服务生是表现最出色的 坐下后的服务生就比较稚嫩了 显然没经过太好的培训 这点有待加强综上所述：,243,真正大陸用語,True,0,,sentence_fragment,15,1.0,0.0,0.0,1.0,1.0,3.0
3个人了一份乳鸽、小炒黄牛肉、雪蛤蛋挞、扬州炒饭还有西湖牛肉羹。,32,通用簡體中文,True,0,,sentence_fragment,21,0.0,0.0,0.0,1.0,0.0,1.0
在学校门口发传单，最好送一些小礼物，铅笔啊，气球啊之类的。,29,通用簡體中文,True,0,,sentence_fragment,13,0.0,0.0,0.0,1.0,0.0,1.0
市)的72个空气自动站、72家国控污染源集中开展交叉检查，发现一些地方政府为了减轻考核压力、,46,通用簡體中文,True,0,,sentence_fragment,21,0.0,0.0,0.0,1.0,0.0,1.0
同时，也为更加宽泛的绿色产业提供更多机会。,21,通用簡體中文,True,0,,sentence_fragment,23,0.0,0.0,0.0,1.0,0.0,1.0
范冰冰与汤唯交恶，范的公司回复很荒唐居然声称不认识汤唯与她没有接触过，此举我觉得是看不起汤唯的意思，,50,通用簡體中文,True,0,,sentence_fragment,14,0.0,0.0,0.0,1.0,0.0,1.0
我们已经摆好桌子，就等你来！,14,通用簡體中文,True,0,,sentence_fragment,25,0.0,0.0,0.0,1.0,0.0,1.0
最终的结果怎么样都不会有遗憾。,15,通用簡體中文,False,0,,sentence_fragment,12,,,,,,
据企业负责人介绍，由于工厂内各种消防设施齐全，工人得以第一时间控制住火情，,37,通用簡體中文,True,0,,sentence_fragment,30,0.0,0.0,0.0,1.0,0.0,1.0
长期日夜颠倒身体会怎样？,12,通用簡體中文,True,0,,sentence_fragment,47,0.0,0.0,0.0,1.0,0.0,1.0
基本就没吃打包了.主食：滑蛋河粉，38米，这个很不错，味道很鲜，里面有菜、,37,通用簡體中文,True,0,,sentence_fragment,12,0.0,0.0,0.0,1.0,0.0,1.0
不过若忽略上载动作的主动性，以此广义而言，上载和下载是同时性的相对动作，,36,通用簡體中文,True,0,,sentence_fragment,50,1.0,0.0,0.0,1.0,0.0,2.0
望着医院发出的一张又一张催款单，,16,通用簡體中文,True,0,,sentence_fragment,16,0.0,0.0,0.0,1.0,0.0,1.0
她也许对她粉丝很好，但是对于粉丝以外的大众，她从不care自己的形象。,35,通用簡體中文,True,0,,sentence_fragment,39,0.0,0.0,0.0,1.0,0.0,1.0
相比前作《达芬奇密码》，《但丁密码》的故事格局瞬间放大：拯救全人类！,34,通用簡體中文,True,0,,sentence_fragment,32,0.0,0.0,0.0,1.0,0.0,1.0
我非常理解医生得辛苦，敬佩他们的专业能力，,21,通用簡體中文,True,0,,sentence_fragment,27,0.0,0.0,0.0,1.0,0.0,1.0
我记得之前有一家烤肉店，店里的墙纸是那种黑色的上面有手绘的画和字，感觉像是员工们自己弄上去的，,47,通用簡體中文,True,0,,sentence_fragment,26,0.0,0.0,1.0,1.0,0.0,2.0
全通教育(300359)由于受被传点名股价操纵消息的影响，,29,通用簡體中文,True,0,,sentence_fragment,20,0.0,0.0,0.0,1.0,0.0,1.0
司马懿该算是荀彧的脑残粉，话说得很夸张了：书上的事太远了不知道，近百十年我所见贤人都及不上荀令君。,49,通用簡體中文,True,1,,sentence_fragment,32,0.0,0.0,0.0,1.0,0.0,1.0
把被服，粮弹，汽油，军饷牢牢掌握在自己手中。,22,通用簡體中文,True,0,,sentence_fragment,41,0.0,0.0,0.0,1.0,0.0,1.0
如何快速成为数据分析师？,12,通用簡體中文,True,0,,sentence_fragment,41,0.0,0.0,0.0,1.0,0.0,1.0
如今看来，微信在一些功能开发方面，日益向手机QQ靠拢。,27,通用簡體中文,True,1,微信,sentence_fragment,25,0.0,0.0,0.0,1.0,0.0,1.0
对汽油的需求也随之提升。,12,通用簡體中文,True,0,,sentence_fragment,32,0.0,0.0,0.0,1.0,0.0,1.0
也有一些孩子出汗多的背后可能是隐藏着一些疾病原因，那么，家长又改如何去辨别呢？,39,通用簡體中文,True,0,,sentence_fragment,34,0.0,0.0,0.0,1.0,0.0,1.0
从他们图文并茂，内容详实的文字看，应该是早有预谋，目的也只有一个，,33,通用簡體中文,True,0,,sentence_fragment,41,0.0,0.0,0.0,1.0,0.0,1.0
在其它地方很难吃到3元一碗的面。,16,通用簡體中文,True,0,,sentence_fragment,40,0.0,0.0,0.0,1.0,0.0,1.0
“虽然地缘政治因素总是能够带来短期的价格波动，但是美元才是投资者们应该关注的东西。,41,通用簡體中文,True,0,,sentence_fragment,12,0.0,0.0,0.0,1.0,0.0,1.0
