text,text_length,original_index,fragment_index,original_text_length,fragment_length,source_type
130真是佩服这家店开这么久。,132,0,0,132,15,sentence_fragment
尽管门面已经小了一圈，但还是开着不容易啊。,132,0,1,132,21,sentence_fragment
我们不容易，老板也不容易。,132,0,2,132,13,sentence_fragment
自助餐，你可以吃得比平时多，但决不能浪费。,132,0,3,132,21,sentence_fragment
想吃回20元，那是不可能的，所以还是不要去了。,132,0,4,132,23,sentence_fragment
菜真的很一般，洗干净就好啦。,132,0,5,132,14,sentence_fragment
什么都要另外付钱，一定要想好，别的不叫，只吃自助。,132,0,6,132,25,sentence_fragment
这是自己用过最好的用的了,12,2,0,12,12,sentence_fragment
兰州公交集团:明起至8月底三条公交线暂不经过靖远路站原标题：,545,3,0,545,30,sentence_fragment
明起至8月底三条公交线暂不经过靖远路站中国甘肃网7月20日讯据兰州日报报道(记者薛晓霞)日前，,545,3,1,545,47,sentence_fragment
记者从兰州公交集团获悉，,545,3,2,545,12,sentence_fragment
由于靖远路(市二医院至庙滩子)路段因道路维修于7月21日至8月底进行全封闭施工，市内35路、81路、,545,3,3,545,50,sentence_fragment
108路3条线路将进行临时调整。,545,3,4,545,16,sentence_fragment
据悉，35路公交线由兰州西客站开往美伦广场时，兰州西客站至白塔山公园线路不变，,545,3,5,545,39,sentence_fragment
经北滨河路九州大道南口左转弯进入九州大道至庙滩子恢复原线路运行；,545,3,6,545,32,sentence_fragment
由美伦广场开往兰州西客站时，美伦广场至庙滩子线路不变，,545,3,7,545,27,sentence_fragment
左转弯进入九州大道至北滨河路市二医院恢复原线路运行。,545,3,8,545,26,sentence_fragment
81路公交线路由市二医院开往省军干所时，,545,3,9,545,20,sentence_fragment
经北滨河路九州大道南口左转弯进入九州大道至庙滩子恢复原线路运行；,545,3,10,545,32,sentence_fragment
由省军干所开往市二医院时，省军干所至庙滩子线路不变，左转弯进入九州大道至市二医院。,545,3,11,545,41,sentence_fragment
108路公交线路由九州创城B区开往兰州西客站时，九州创城B区至朝阳村路口线路不变，,545,3,12,545,41,sentence_fragment
直行进入九州大道至北滨河路市二医院恢复原线路运行；,545,3,13,545,25,sentence_fragment
由兰州西客站开往九州创城B区时，兰州西客站至白塔山公园线路不变，,545,3,14,545,32,sentence_fragment
经北滨河路九州大道南口左转弯进入九州大道至朝阳村路口恢复原线路运行。,545,3,15,545,34,sentence_fragment
本报提醒广大市民合理安排出行，以上三条线路线路临时调整后，暂不经过靖远路公交站点。,545,3,16,545,41,sentence_fragment
赛马会青少年足球精英训练营是由香港赛马会及曼联合作的一个香港青少年足球训练计划，,215,4,0,215,40,sentence_fragment
于2012-2014年，,215,4,1,215,12,sentence_fragment
每年从不同香港球会挑选64位15至18岁的青少年接受曼联足球学校派出之教练的两星期训练；,215,4,2,215,44,sentence_fragment
再选当中表现最佳两位前往英国曼联青训学院训练一星期。,215,4,3,215,26,sentence_fragment
此计划是曼联足球学校国际训练计划的一部分，并同时于英国、阿布扎比、杜拜、印度及中国举办。,215,4,4,215,44,sentence_fragment
2012年训练于7月16-27日举行。,215,4,5,215,19,sentence_fragment
最后获选赴英者为屯门足球会的陈柏熹及横滨FC香港的陈玮乐 。,215,4,6,215,30,sentence_fragment
突然有一天去他家买东西买的海带 回家一尝还真不错~关键是还便宜 呵呵哈尔滨红肠感觉口味也挺正的~,48,5,0,48,48,sentence_fragment
如何评价姚明在2016年奈史密斯篮球名人堂入选仪式上的演讲？,225,6,0,225,30,sentence_fragment
从大姚的演讲来看，可以发现： 1大姚的英文很好，而且还学会了美国人的幽默。,225,6,1,225,37,sentence_fragment
2大姚在NBA遇到过不少贵人，他们给予了大姚很多帮助，让他能取得今天的成功，,225,6,2,225,38,sentence_fragment
而大姚也是一个懂得感恩的人。,225,6,3,225,14,sentence_fragment
可以说他之所以能取得如今的成就，这两点很重要。,225,6,4,225,23,sentence_fragment
英文好而且幽默，才让他更好地融入了美国人的团体中，,225,6,5,225,25,sentence_fragment
才可以和一开始的弗朗西斯和莫布里还有后来的麦迪等人成为好队友好朋友，,225,6,6,225,34,sentence_fragment
才能让他和汤姆贾科维奇范甘迪阿德尔曼等教练交流无,225,6,7,225,24,sentence_fragment
有哪些震撼人心的悼词？,208,7,0,208,11,sentence_fragment
弟子世行代答： 古人称，读出师表不涕者，为人必不忠，读陈情表不涕这，为人必不孝，读祭十二郎文不涕这，,208,7,1,208,50,sentence_fragment
年月日，季父愈闻汝丧之七日，乃能衔哀致诚，使建中远具时羞之奠，告汝十二郎之灵： 呜呼！,208,7,2,208,43,sentence_fragment
吾少孤，及长，不省所怙，惟兄嫂是依。,208,7,3,208,18,sentence_fragment
中年，兄殁南方，吾与汝俱幼，从嫂归葬河阳。,208,7,4,208,21,sentence_fragment
零丁孤苦，未尝一日相离也。,208,7,5,208,13,sentence_fragment
吾上有三兄，皆不幸早世。,208,7,6,208,12,sentence_fragment
承先人后者，在孙惟汝，在子惟吾。,208,7,7,208,16,sentence_fragment
在UCLA陶哲轩手下读博是什么感受？,236,8,0,236,18,sentence_fragment
很好奇，陶是公认的天才。,236,8,1,236,12,sentence_fragment
很想知道在他手下读博是什么感受？,236,8,2,236,16,sentence_fragment
