text,source,original_idx,augmentation_method
130真是佩服这家店开这么久。尽管门面已经小了一圈，但还是开着不容易啊。我们不容易，老板也不容易。自助餐，你可以吃得比平时多，但决不能浪费。想吃回20元，那是不可能的，所以还是不要去了。菜真的很一般，洗干净就好啦。什么都要另外付钱，一定要想好，别的不叫，只吃自助。,original,0,
送货速度奇慢无比,original,1,
这是自己用过最好的用的了,original,2,
兰州公交集团:明起至8月底三条公交线暂不经过靖远路站原标题：明起至8月底三条公交线暂不经过靖远路站中国甘肃网7月20日讯据兰州日报报道(记者薛晓霞)日前，记者从兰州公交集团获悉，由于靖远路(市二医院至庙滩子)路段因道路维修于7月21日至8月底进行全封闭施工，市内35路、81路、108路3条线路将进行临时调整。据悉，35路公交线由兰州西客站开往美伦广场时，兰州西客站至白塔山公园线路不变，经北滨河路九州大道南口左转弯进入九州大道至庙滩子恢复原线路运行；由美伦广场开往兰州西客站时，美伦广场至庙滩子线路不变，左转弯进入九州大道至北滨河路市二医院恢复原线路运行。81路公交线路由市二医院开往省军干所时，经北滨河路九州大道南口左转弯进入九州大道至庙滩子恢复原线路运行；由省军干所开往市二医院时，省军干所至庙滩子线路不变，左转弯进入九州大道至市二医院。108路公交线路由九州创城B区开往兰州西客站时，九州创城B区至朝阳村路口线路不变，直行进入九州大道至北滨河路市二医院恢复原线路运行；由兰州西客站开往九州创城B区时，兰州西客站至白塔山公园线路不变，经北滨河路九州大道南口左转弯进入九州大道至朝阳村路口恢复原线路运行。本报提醒广大市民合理安排出行，以上三条线路线路临时调整后，暂不经过靖远路公交站点。,original,3,
赛马会青少年足球精英训练营是由香港赛马会及曼联合作的一个香港青少年足球训练计划，于2012-2014年，每年从不同香港球会挑选64位15至18岁的青少年接受曼联足球学校派出之教练的两星期训练；再选当中表现最佳两位前往英国曼联青训学院训练一星期。此计划是曼联足球学校国际训练计划的一部分，并同时于英国、阿布扎比、杜拜、印度及中国举办。2012年训练于7月16-27日举行。最后获选赴英者为屯门足球会的陈柏熹及横滨FC香港的陈玮乐 。,original,4,
突然有一天去他家买东西买的海带 回家一尝还真不错~关键是还便宜 呵呵哈尔滨红肠感觉口味也挺正的~,original,5,
如何评价姚明在2016年奈史密斯篮球名人堂入选仪式上的演讲？从大姚的演讲来看，可以发现： 1大姚的英文很好，而且还学会了美国人的幽默。2大姚在NBA遇到过不少贵人，他们给予了大姚很多帮助，让他能取得今天的成功，而大姚也是一个懂得感恩的人。可以说他之所以能取得如今的成就，这两点很重要。英文好而且幽默，才让他更好地融入了美国人的团体中，才可以和一开始的弗朗西斯和莫布里还有后来的麦迪等人成为好队友好朋友，才能让他和汤姆贾科维奇范甘迪阿德尔曼等教练交流无,original,6,
有哪些震撼人心的悼词？弟子世行代答： 古人称，读出师表不涕者，为人必不忠，读陈情表不涕这，为人必不孝，读祭十二郎文不涕这，为人必不悌。年月日，季父愈闻汝丧之七日，乃能衔哀致诚，使建中远具时羞之奠，告汝十二郎之灵： 呜呼！吾少孤，及长，不省所怙，惟兄嫂是依。中年，兄殁南方，吾与汝俱幼，从嫂归葬河阳。既又与汝就食江南。零丁孤苦，未尝一日相离也。吾上有三兄，皆不幸早世。承先人后者，在孙惟汝，在子惟吾。两世一身，形单影只,original,7,
在UCLA陶哲轩手下读博是什么感受？很好奇，陶是公认的天才。很想知道在他手下读博是什么感受？补充，这个网站里可以看到Tao的学生列表强行答一个无关的！一天听讲座，我到的稍微有点晚，挤在门口一个角落，发现旁边这不是Tao吗？也站着呢，没人让座没人理。感觉这可能是我俩地位最平等的一次了吧，想偷摸拍一张合影也没敢。听着听着他还小声笑一下，我就在那里懵逼地边听边琢磨笑点在哪。反正到最后我也是没太听明白，Tao还问了个问题，语速巨快，我既没听懂问题又没听懂答案。感慨自己太渣了。,original,8,
就是短了点很好看但很快结束。一天就看完了有后续吗,original,9,
