text,text_length,category,success,authenticity_score,mainland_terms,source_type,paragraph_length,score_大陸特有詞彙,score_大陸語法習慣,score_大陸口語表達,score_避免繁體用語,score_整體大陸化程度,score_總分
如今，不管是在大型商超还是巷子里的小铺，随处可见各种扫码支付的身影。而随着扫码支付线下布局的逐渐广泛和已培育成熟的用户消费习惯，使得近期扫码支付风潮颇有横扫支付市场的势头。不管你是商家和个人都可以开通无卡支付！对此，优壹付方面负责人表示：“随着费率改革的正式推行，使得无卡支付、扫码支付进入了全国爆发期。目前，扫码支付市场也激战正酣，越来越多的企业、代理商以及个体都在进军移动支付战场抢滩分食。,197,真正大陸用語,True,0,,split_paragraph,92,1.0,1.0,1.0,1.0,1.0,5.0
他家的馅饼感觉就是一般，料比较足，不是很油，烤制的一般，粥还可以，很浓稠的那种，吃起来香香的。,47,通用簡體中文,True,0,,split_paragraph,217,0.0,0.0,0.0,1.0,0.0,1.0
祝大家，身体健康，学业进步，事业进步。-------半个月不见--三更下-----快忘了这个提问了----2017年--一两年过去了，随手这几句---现在大四，即将毕业离校，对于钱这个东西有了更多的认识，其中一小点是我们更应该世俗平凡接地气一点，快速赚钱对我们来说并不是特别特别重要，偶尔两个月赚20万，和稳定每个月赚3万5万，真心区别不大，祝愿各位同学学有所成，简单快乐。50天能把5万变20万的人，根本不会在这里评论。,211,通用簡體中文,True,0,,split_paragraph,132,0.0,0.0,0.0,1.0,0.0,1.0
显示实货需求的中国黄金溢价降至约2-3美元，上周为6-7美元。中国为全球第二大黄金消费国。全球最大黄金支持上市交易基金(ETF)SPDR Gold Trust 持金量持续流出。本周全球最大黄金ETF--SPDR Gold Trust 持仓也持续流出，这显示投资人对金价升势保持谨慎。希腊忧虑挥之不去，市场对希腊最终能够达成援助协议的乐观情绪暂时未给金价带来进一步支撑。希腊方面的不安情绪似乎对欧元的打压有限。,204,通用簡體中文,True,0,,split_paragraph,89,0.0,0.0,0.0,1.0,0.0,1.0
还有好几次了，他们的服务员会故意忽略你的话的，你叫他加水，他睬也不踩你，自己跑到一边去休息了。,47,真正大陸用語,True,0,,split_paragraph,112,0.0,1.0,0.0,1.0,1.0,3.0
“因为经济迟早会回升，很快需求就上来了，价格也会随之上升——现在是最好的时机。常清教授认为，原油价格下跌至三四十美元/桶时，中国适时加大购买力度，为国家节约了大量的外汇，值得肯定。一位在石油交易领域研究多年的分析师则表示，进口原油增加的另外一个原因是国内原油产量的不断下降。从表面来看，作为全球第二大原油消费国，中国的原油进口情况显得很稳健，今年1-5月进口同比增长16.5%，相当于每日大约749万桶。,202,通用簡體中文,True,1,,split_paragraph,188,0.0,0.0,0.0,1.0,0.0,1.0
不知我该如何抉择？望诸位前辈不吝赐教：）作为一个毕业不久的本科生，我很理解LZ这种对进入职场的逃避和对学校的留恋。越离近入职日，越对未来不确定。特别是我想lz身边有很多朋友都考研了吧，会有一种只身一人去新地图的恐惧感。但是，请相信自己既然拿到offer了就等于有这个实力做好这份工作，无论外面行情是不是优待学历。而且accounting的话真的是工作会比学校学到更多东西！以后想进入咨询行业，你在四大的经历绝对比研究生更有分量！,214,通用簡體中文,True,0,,split_paragraph,210,0.0,0.0,0.0,1.0,0.0,1.0
对于本次发布会，最大的亮点莫过于Apple TV的更新，更可以说是再创造，苹果的第五块屏幕终于开始发力（手机，平板，电脑，穿戴）。,65,通用簡體中文,True,0,,split_paragraph,158,0.0,0.0,0.0,1.0,0.0,1.0
其中：央企神东煤炭集团在陕煤矿煤炭产量6477.92万吨，同比减少1273.84万吨，下降16.43%;省属国有重点煤矿煤炭产量8659.42万吨，同比减少740.23万吨，下降7.88%;地方煤矿煤炭产量16980.6万吨，同比减少1559.31万吨，下降8.41%。9月份，全省119处矿井生产原煤3298.92万吨，同比减少920.54万吨，下降21.82%，环比减少982.68万吨，下降22.95%。,205,通用簡體中文,True,0,,split_paragraph,249,0.0,0.0,0.0,1.0,0.0,1.0
Price Futures Group的分析师Phil Flynn表示，“很多次，市场对类似事件立即作出强烈反应，但在对相关风险进行进一步研究后，人们开始长远地看待事件的影响。” 德国商业银行商品分析师Daniel Briesemann表示，“如果中东局势没有改善，金价可能进一步走强，但如果出现改善，金价可能跌穿1，200美元。”立博塔斯财富管理集团的总裁兼投资组合管理人Adam Koos说，“虽然地缘政治因素总是能够带来短期的价格波动，但是美元才是投资者们应该关注的东西。,239,通用簡體中文,True,0,,split_paragraph,236,0.0,0.0,0.0,1.0,0.0,1.0
但在强势的人物面前大怂若强大愚若智，用迂回的方式和欺负自己的人做一点小小的斗争。斗不过也没办法，唾面自干，明天又是新的一天。,62,通用簡體中文,True,0,,split_paragraph,236,0.0,0.0,0.0,1.0,0.0,1.0
家常菜，感觉口味不错，价格适中，就是地方不是很大，有点偏挤。可以小吃，同学聚餐。,40,通用簡體中文,True,0,,split_paragraph,125,0.0,0.0,0.0,1.0,0.0,1.0
与致富带头人共谋发展改善基础——富民强村但是要做大做强一个产业，刚起步总是很难，摆在我面前的第一个难题就是交通问题，黑山羊可以养，但是怎么卖出去呢?没有可以成批运输的渠道，只靠一只一只的牵出去是不可能发展的!想通这点后我就立即着手向乡政府写报道，很快得到了乡党委郭书记的认可，她也多次带队来我村实地查看、选址，最终为我们村两委争取到3万元资金，再加上王眉古寨上12社村民的众筹，总共7万元。我们用这笔钱打通了这条通天路，开启了村上第一个产业——黑山羊养殖，也培养起了第一批致富带头人——邱凯与康杨莉。,250,通用簡體中文,True,0,,split_paragraph,160,0.0,0.0,0.0,1.0,0.0,1.0
第二日上午，小谢的同事有事找他，打他的电话怎么也打不通，便来到小谢家里探一究竟，结果发现小谢已经神志不清了。小谢的父母急忙将其送往当地人民医院抢救，却未能获得良好诊治。10月9日，在辗转各大医院后，小谢的父母带着他来到湖南省酒瘾网瘾中心就诊。湖南省脑科医院酒瘾网瘾治疗中心主任周旭辉仔细询问病史并进行相关检查后，最后确诊了小谢的疾病——急性酒精中毒并发缺血缺氧性脑病。,184,通用簡體中文,True,0,,split_paragraph,189,0.0,0.0,0.0,1.0,0.0,1.0
曾经有一对相爱的情侣，女孩双目失明，男孩问女孩如果你复明了，你会嫁给我吗？后来女孩得到了一对眼角膜，复明后发现男孩是个瞎子，果断拒绝了男孩。,70,通用簡體中文,True,0,,split_paragraph,222,0.0,0.0,0.0,1.0,0.0,1.0
”桑洲镇“打包”为农户投保的模式，在国内还不多见。“这也体现了共青团的工作思路给地方政府提供了借鉴，促使政府引导经济合作社的社员实现从传统的农产品销售途径到线上销售途径的转变，通过保险的推动，提升当地电商农产品的品牌，这是我们乐于看到的趋势。”钱雪华说。除了“打包”投保之外，达到一定规模的电商农产品企业可以直接投保，而比较小的农产品企业也可以和保险公司对接，根据具体情况，单独制订保险计划。“其实在我们联系的青年农产品电商里，这样的小企业才是大多数，也是需求最多的群体。,236,通用簡體中文,True,0,,split_paragraph,218,0.0,0.0,0.0,1.0,0.0,1.0
环保板块估值风险有所积聚。万邦达:经营业绩大幅增长，打造综合型环保服务平台类别：公司研究 机构：长江证券股份有限公司 研究员：邓莹 日期：2015-04-09事件评论主营业务运行良好，业绩稳中有升。公司今年一季度在积极拓展市场的同时，强化企业管理，规范业务流程，实现了营业收入的快速增长，同比增加了209.38%。其中，公司在工程承包项目、托管运营、商品销售等主营业务上集中施工和供货，再加上2014 年新收购的昊天节能子公司业务进展顺利，协同效应明显，使得公司一季度的业绩大幅上升。,242,通用簡體中文,True,0,,split_paragraph,214,0.0,0.0,0.0,1.0,0.0,1.0
六是深入开展节能减排全民行动，推动形成勤俭节约、绿色低碳、文明健康的生活方式和消费模式。张勇要求，各级发展改革部门要奋发有为，狠抓落实。一是加强重大问题研究，谋划好“十三五”。二是转变政府职能，切实推进简政放权。三是加强项目管理，切实提高投资效益。四是加强队伍建设，增强工作能力。五是加强系统联动，形成整体合力。3月24日，中央政治局会议再次强调，，要把生态文明建设融入经济、政治、文化、社会建设各方面和全过程，构建五位一体格局。,215,通用簡體中文,True,0,,split_paragraph,237,0.0,0.0,0.0,1.0,0.0,1.0
“环评”在陈吉宁正式接任部长的一个月中，被频繁提及。“环评风暴”甚至被认为是陈吉宁施政的“第一把火”。3月25日，环保部发布《全国环保系统环评机构脱钩方案》，要求全国环保系统环评机构在2016年年底前全部脱钩，环保部门在编及下属企业聘任人员，全部退出环评机构。市场退出、人员退出，彰显环评改革力度。方案出台，距离陈吉宁3月7日在全国人大记者会上的承诺，前后仅相隔17天。这次脱钩方案，被认为是掀起又一次的“环评风暴”，也是对环评机构改革下“最后通牒”。,226,通用簡體中文,True,0,,split_paragraph,102,0.0,0.0,0.0,1.0,0.0,1.0
有时过了很久突然想起一件事的另一种结果或关系，背后一凉补充一句，味道和放了好多天的臭肉差不多，不过会更腥一点。细思恐极的事情是关于一座房子的，腐烂的尸体的味道。我出生在山西北部的一个地级市，小时候生活在一个城中村。那个地方以前是旧火车站的附近，到现在也充斥着形形色色的人，民工，失足女，当然和问题无关。最开始村里有居民近万人。背景交代完毕。,170,通用簡體中文,True,0,,split_paragraph,224,0.0,0.0,0.0,1.0,0.0,1.0
“急性酒精中毒并发缺血缺氧性脑病的治疗、康复训练的过程是很复杂的，涉及多学科合作，需要药物治疗、高压氧及功能康复相结合，加之小谢在发病后由于家庭经济紧张，治疗未能连续进行，错过了救治的黄金期，所以目前是比较棘手的。”周旭辉说，尽管病情严重，但小谢本身年轻，既往体质好，没有基础性疾病，且病程还不是很长，所以坚持规范的治疗还是有希望好转的，希望大家能伸出援手，帮帮他。“酒精的致死量是250克纯酒精，相当于一斤二两白酒的量，也是一般人饮酒的极限。,222,通用簡體中文,False,0,,split_paragraph,53,,,,,,
企业微博营销运营方案（实用篇） 企业微博9大管理体系企业微博系统规范化管理的“9大管理体系”：企业微博的组织管理企业微博的运营管理企业微博的形象管理企业微博的内容管理企业微博的内容发布流程管理企业微博的授权管理企业微博的协同管理企业微博的危机管理企业微博的激励管理等。企业微博矩阵企业官方微博企业领导人微博员工微博。,158,通用簡體中文,True,0,,split_paragraph,225,0.0,0.0,0.0,1.0,0.0,1.0
现在月经每个月按时来，经血和经量都正常了这月经一调好，人的皮肤、身子都变好了 下面这一位是湖北的梁艳小姐！私处紧.致粉嫩看的见哦 梁艳：好几个闺蜜都在用它，我用后，果然是极好，极为清爽、紧致，很是合我意，我家那位都说，变得好紧哟…我还发现，我的私处不那么黑了，变得越来越粉嫩了，还可以这样吗？哈哈~~我要继续用，真是好东西，女人们的宝贝！效果就是这样震撼，再也不用拼命的到处找、不用大把大把的吃药、不用耐着性子四处寻觅。自信的享受美妙过程吧！,221,通用簡體中文,True,0,,split_paragraph,165,0.0,0.0,0.0,1.0,0.0,1.0
但是排干净后下面就变得非常清爽，异味消失，最高兴的是用到不到一个月的时候，感觉下面滋润了，跟老公同房的时候阴吹没有了，能明显的感到紧握力变强了，连续用2个月下来，老公说我现在的阴道就跟20多岁的小姑娘似的~现在下班回家可准时了，嘻嘻~我很满意，遇到这么好的老师真是我的幸运。下面是网络上认识的南京的陈欣小姐！我们现在是好朋友了（24岁，先天阴道松弛） 陈欣：认识老师还是在去年的9月份。,193,通用簡體中文,True,0,,split_paragraph,157,0.0,0.0,0.0,1.0,0.0,1.0
重点问责政府，是陈吉宁在履新之初，谈及工作计划时，面向公众的公开表态。3月1日下午，履新环保部长不足48小时的陈吉宁，即召集媒体座谈会。在座谈会上，陈吉宁向媒体“交底”，开腔谈及自己的工作计划。在表态要做好的5件事中，陈吉宁将全力贯彻落实好新《环保法》放在第一 “位，其中特别强调“重点要加强对地方政府的监督，督促地方政府切实负起责任”。自陈吉宁1月28日进入环保部以来，环保部先后约谈河北省沧州市、临沂市、承德市及河南省驻马店市等4个城市的主要负责人。其中，此次对驻马店市政府的约谈，规格升级。,248,通用簡體中文,True,0,,split_paragraph,214,0.0,0.0,0.0,1.0,0.0,1.0
总有人质问我，为什么和很多人相处不好。几年前，我在某些人的引导下，选错了自己的专业，开始了一段为期四年的痛苦学业。期间，我遇到过太多不求上进的人，没有目标，没有追求，甚至没有自己想做的事儿，成天就是网吧，游戏，女人，无限循环。自己付出的努力在同窗眼里被视作装逼，我也曾满心欢喜的与身边的人分享自己的成就，期待别人的共鸣与祝愿，结果收到的却是无端的嘲讽与恶意的揣测。,182,通用簡體中文,True,0,,split_paragraph,219,0.0,0.0,0.0,1.0,1.0,2.0
家住在青岛港附近的李先生说，“有些大船一停就是半个月。还有新的船源源不断开过来。”近段时间，中国原油进口相当火爆。跨洋巨型油轮源源不断地将世界各地的原油运往中国。青岛港并不是特例。上海港的停靠船只也已经密密麻麻，给这号称世界最繁忙的港口又增加了几分运输压力。全球供应过剩的原油，距离消化完还很遥远——全球660多艘超级油轮 (VLCC)几乎全都用于将中东地区原油运往亚洲。,186,通用簡體中文,True,0,,split_paragraph,209,0.0,0.0,0.0,1.0,0.0,1.0
王毅在回答如何看待有些势力炒作南海仲裁案问题时强调，仲裁案给解决南海争端开出了错误药方，应当退烧降温了。王毅表示，最近临时仲裁庭作出的所谓裁决给解决南海争端开出了一副错误的药方，导致围绕仲裁的纷争与炒作持续升温，一些域外国家尤其兴奋 不已，高烧不退，干扰了本地区的正常秩序，损害了地区国家的整体利益。这种状况正在引起越来越多国家的担忧、反感和抵制。药方开错了不仅 治不好病，还会侵蚀健康的肌体。因此，我们敦促停止这种无谓的政治操弄与炒作，尽快退烧降温，还南海以安宁，还地区以稳定。,240,通用簡體中文,True,0,,split_paragraph,175,0.0,0.0,0.0,1.0,0.0,1.0
